iter	Passed	Remaining
441	1369	1728
442	1372	1725
443	1379	1727
444	1382	1724
445	1384	1719
446	1386	1715
447	1388	1711
448	1391	1707
449	1393	1703
450	1395	1699
451	1397	1694
452	1399	1689
453	1400	1684
454	1402	1679
455	1404	1675
456	1408	1674
457	1410	1669
458	1412	1665
459	1414	1660
460	1416	1656
461	1419	1652
462	1425	1652
463	1426	1648
464	1428	1643
465	1429	1638
466	1432	1635
467	1439	1636
468	1442	1632
469	1444	1628
470	1446	1624
471	1448	1620
472	1454	1620
473	1456	1616
474	1458	1611
475	1459	1606
476	1461	1602
477	1463	1597
478	1464	1593
479	1468	1590
480	1470	1586
481	1471	1581
482	1473	1577
483	1475	1572
484	1476	1568
485	1478	1563
486	1479	1558
487	1483	1556
488	1485	1552
489	1487	1547
490	1490	1545
491	1494	1543
492	1501	1543
493	1502	1539
494	1504	1535
495	1506	1530
496	1507	1525
497	1508	1520
498	1510	1516
499	1512	1512
500	1515	1509
501	1517	1505
502	1518	1500
503	1520	1496
504	1522	1492
505	1523	1487
506	1525	1483
507	1526	1478
508	1529	1475
509	1530	1470
510	1532	1466
511	1534	1462
512	1536	1458
513	1537	1453
514	1539	1449
515	1540	1444
516	1545	1443
517	1546	1439
518	1548	1435
519	1550	1431
520	1552	1426
521	1553	1422
522	1554	1418
523	1556	1413
524	1559	1410
525	1561	1406
526	1563	1403
527	1565	1399
528	1567	1395
529	1569	1391
530	1573	1389
531	1576	1386
532	1577	1382
533	1579	1378
534	1580	1374
535	1582	1369
536	1583	1365
537	1584	1361
538	1587	1358
539	1590	1354
540	1592	1350
541	1594	1347
542	1595	1342
543	1597	1338
544	1598	1334
545	1601	1331
546	1604	1328
547	1606	1324
548	1607	1320
549	1609	1316
550	1611	1312
551	1612	1309
552	1619	1308
553	1621	1305
554	1623	1301
555	1624	1297
556	1625	1293
557	1627	1289
558	1628	1284
559	1630	1281
560	1633	1278
561	1635	1274
562	1636	1270
563	1638	1266
564	1639	1262
565	1641	1258
566	1642	1254
567	1644	1250
568	1646	1246
569	1649	1244
570	1650	1240
571	1652	1236
572	1653	1232
573	1655	1228
574	1656	1224
575	1658	1220
576	1659	1216
577	1663	1214
578	1664	1210
579	1666	1206
580	1667	1202
581	1669	1198
582	1670	1194
583	1672	1191
584	1673	1187
585	1675	1183
586	1678	1181
587	1680	1177
588	1682	1174
589	1684	1170
590	1685	1166
591	1687	1162
592	1689	1159
593	1690	1155
594	1694	1153
595	1696	1149
596	1698	1146
597	1699	1142
598	1701	1138
599	1702	1135
600	1704	1131
601	1705	1127
602	1709	1125
603	1712	1122
604	1713	1118
605	1715	1115
606	1716	1111
607	1718	1107
608	1721	1104
609	1724	1102
610	1726	1099
611	1728	1095
612	1730	1092
613	1732	1088
614	1733	1085
615	1735	1081
616	1736	1077
617	1738	1074
618	1740	1071
619	1741	1067
620	1743	1064
621	1745	1061
622	1747	1057
623	1748	1053
624	1751	1051
625	1753	1047
626	1755	1044
627	1756	1040
628	1758	1037
629	1760	1033
630	1761	1030
631	1763	1026
632	1764	1023
633	1768	1021
634	1770	1017
635	1771	1013
636	1773	1010
637	1774	1006
638	1776	1003
639	1777	999
640	1779	996
641	1783	994
642	1785	991
643	1787	987
644	1788	984
645	1790	980
646	1791	977
647	1793	974
648	1795	971
649	1798	968
650	1800	964
651	1801	961
652	1802	958
653	1804	954
654	1805	951
655	1807	947
656	1808	944
657	1811	941
658	1813	938
659	1814	934
660	1816	931
661	1817	927
662	1818	924
663	1820	921
664	1821	917
665	1823	914
666	1826	911
667	1828	908
668	1829	905
669	1831	901
670	1832	898
671	1834	895
672	1835	891
673	1837	888
674	1839	885
675	1841	882
676	1842	879
677	1844	875
678	1845	872
679	1847	869
680	1848	865
681	1850	862
682	1851	859
683	1855	857
684	1857	854
685	1858	850
686	1860	847
687	1861	844
688	1862	840
689	1864	837
690	1865	834
691	1868	831
692	1871	828
693	1873	825
694	1874	822
695	1876	819
696	1877	816
697	1879	813
698	1881	810
699	1884	807
700	1886	804
701	1887	801
702	1888	798
703	1890	794
704	1891	791
705	1893	788
706	1894	785
707	1896	782
708	1900	779
709	1901	776
710	1903	773
711	1904	770
712	1906	767
713	1908	764
714	1909	761
715	1911	758
716	1914	755
717	1916	752
718	1917	749
719	1919	746
720	1920	743
721	1921	739
722	1923	736
723	1924	733
724	1926	730
725	1929	728
726	1930	725
727	1932	721
728	1933	718
729	1935	715
730	1936	712
731	1938	709
732	1939	706
733	1941	703
734	1944	700
735	1945	697
736	1947	694
737	1948	691
738	1950	688
739	1951	685
740	1953	682
741	1954	679
742	1958	677
743	1961	674
744	1962	671
745	1964	668
746	1965	665
747	1968	663
748	1970	660
749	1974	658
750	1976	655
751	1978	652
752	1981	649
753	1983	647
754	1988	645
755	1993	643
756	1995	640
757	1997	637
758	1998	634
759	2000	631
760	2002	628
761	2003	625
762	2005	622
763	2006	619
764	2008	616
765	2009	613
766	2010	610
767	2012	607
768	2015	605
769	2017	602
770	2018	599
771	2020	596
772	2021	593
773	2023	590
774	2024	587
775	2026	584
776	2027	581
777	2030	579
778	2032	576
779	2033	573
780	2035	570
781	2036	567
782	2038	564
783	2039	561
784	2041	559
785	2042	556
786	2045	553
787	2047	550
788	2049	547
789	2050	545
790	2051	542
791	2053	539
792	2054	536
793	2056	533
794	2058	530
795	2060	528
796	2062	525
797	2064	522
798	2065	519
799	2067	516
800	2068	513
801	2071	511
802	2072	508
803	2075	505
804	2077	503
805	2078	500
806	2080	497
807	2081	494
808	2083	491
809	2084	489
810	2086	486
811	2090	484
812	2092	481
813	2094	478
814	2095	475
815	2097	472
816	2098	470
817	2100	467
818	2101	464
819	2105	462
820	2106	459
821	2108	456
822	2109	453
823	2111	450
824	2112	448
825	2113	445
826	2115	442
827	2116	439
828	2119	437
829	2121	434
830	2122	431
831	2124	428
832	2125	426
833	2126	423
834	2128	420
835	2130	417
836	2132	415
837	2134	412
838	2136	409
839	2137	407
840	2138	404
841	2140	401
842	2141	398
843	2143	396
844	2146	393
845	2148	391
846	2150	388
847	2152	385
848	2154	383
849	2155	380
850	2157	377
851	2159	375
852	2162	372
853	2164	370
854	2165	367
855	2167	364
856	2168	361
857	2170	359
858	2171	356
859	2173	353
860	2176	351
861	2178	348
862	2179	346
863	2181	343
864	2182	340
865	2184	337
866	2185	335
867	2187	332
868	2191	330
869	2192	327
870	2194	325
871	2196	322
872	2197	319
873	2199	317
874	2200	314
875	2202	311
876	2203	309
877	2207	306
878	2209	304
879	2210	301
880	2212	298
881	2213	296
882	2215	293
883	2216	290
884	2217	288
885	2222	285
886	2223	283
887	2225	280
888	2226	278
889	2228	275
890	2229	272
891	2231	270
892	2232	267
893	2236	265
894	2238	262
895	2240	260
896	2241	257
897	2243	254
898	2244	252
899	2246	249
900	2247	246
901	2250	244
902	2252	241
903	2253	239
904	2255	236
905	2257	234
906	2259	231
907	2261	229
908	2262	226
909	2266	224
910	2268	221
911	2270	219
912	2272	216
913	2274	213
914	2275	211
915	2276	208
916	2278	206
917	2280	203
918	2282	201
919	2284	198
920	2285	196
921	2287	193
922	2288	190
923	2289	188
924	2291	185
925	2293	183
926	2296	180
927	2297	178
928	2299	175
929	2300	173
930	2302	170
931	2303	168
932	2305	165
933	2306	162
934	2308	160
935	2311	158
936	2313	155
937	2314	153
938	2316	150
939	2317	147
940	2319	145
941	2320	142
942	2321	140
943	2325	137
944	2327	135
945	2328	132
946	2330	130
947	2331	127
948	2333	125
949	2334	122
950	2336	120
951	2338	117
952	2341	115
953	2342	112
954	2344	110
955	2345	107
956	2347	105
957	2349	102
958	2350	100
959	2353	98
960	2357	95
961	2360	93
962	2363	90
963	2364	88
964	2370	85
965	2372	83
966	2373	81
967	2375	78
968	2376	76
969	2378	73
970	2379	71
971	2381	68
972	2384	66
973	2386	63
974	2387	61
975	2389	58
976	2391	56
977	2392	53
978	2394	51
979	2395	48
980	2399	46
981	2401	44
982	2403	41
983	2404	39
984	2405	36
985	2407	34
986	2408	31
987	2410	29
988	2411	26
989	2415	24
990	2416	21
991	2417	19
992	2419	17
993	2420	14
994	2422	12
995	2424	9
996	2426	7
997	2428	4
998	2430	2
999	2432	0
